163,0,6,84,95,112
182,1,7,75,85,71
202,0,6,254,99,132
222,1,7,117,65,12
263,0,6,255,58,136
283,1,7,121,87,255
304,0,6,73,121,88
324,1,7,106,85,255
346,0,6,48,135,132
389,1,7,108,70,46
410,0,6,48,87,130
430,1,7,116,71,45
451,0,6,255,87,164
499,0,6,36,97,137
541,1,7,131,94,255
562,0,6,32,101,127
622,0,6,60,118,119
643,1,7,134,61,32
663,0,6,58,111,124
684,1,7,105,87,53
724,0,6,255,104,148
745,1,7,97,86,50
765,0,6,33,93,144
786,1,7,130,74,255
868,0,6,28,123,129
888,1,7,124,65,40
908,0,6,48,119,141
950,1,7,123,68,26
971,0,6,38,114,137
1032,0,6,38,123,138
1073,0,6,47,112,141
1093,1,7,119,73,28
1134,0,6,40,119,130
1174,0,6,14,93,175
1195,1,7,143,84,24
1216,0,6,50,99,131
1256,1,7,117,60,60
1277,0,6,41,134,121
1297,1,7,130,66,31
1338,0,6,34,111,132
1379,0,6,32,110,151
1399,1,7,122,70,22
1440,0,6,43,116,143
1480,0,6,38,117,143
1501,1,7,120,73,25
1541,0,6,37,113,137
1582,0,6,37,115,139
1602,1,7,124,74,28
1625,0,6,36,111,146
1646,1,7,118,69,29
1695,0,6,33,118,143
1736,0,6,16,118,147
1756,1,7,127,82,16
1797,0,6,54,117,134
1838,0,6,58,122,129
1858,1,7,113,78,22
1901,0,6,65,140,124
1951,0,6,64,142,134
1992,0,6,64,138,134
2012,1,7,108,70,57
2035,0,6,26,106,164
2095,0,6,29,108,149
2116,1,7,122,103,255
2157,0,6,47,127,132
2207,0,6,46,124,138
2248,0,6,45,111,140
2268,1,7,118,72,28
2290,0,6,41,118,142
2311,1,7,113,79,21
2412,0,6,30,106,148
2444,0,6,255,91,152
2465,1,7,76,72,20
2514,0,6,47,123,78
2555,0,6,56,120,131
2575,1,7,127,80,63
2616,0,6,74,106,131
2657,0,6,20,255,156
2677,1,7,127,104,254
2700,0,6,255,85,97
2720,1,7,107,116,255
2770,0,6,32,107,100
2811,0,6,42,105,118
2831,1,7,97,68,43
2872,0,6,29,83,131
2913,0,6,255,82,120
2933,1,7,97,95,5
2976,0,6,255,72,135
3078,0,6,60,166,46
3110,0,6,59,134,91
3130,1,7,92,68,60
3180,0,6,53,62,93
3221,0,6,38,47,111
3241,1,7,108,93,48
3283,0,6,24,88,105
3323,0,6,255,95,104
3344,1,7,58,65,255
3366,0,6,255,45,59
3386,1,7,77,116,255
3436,0,6,60,100,81
3476,0,6,253,153,111
3496,1,7,78,72,47
3519,0,6,27,117,83
3540,1,7,75,64,21
3590,0,6,20,111,80
3630,0,6,24,117,81
3651,1,7,73,58,21
3692,0,6,255,114,71
3753,1,7,60,51,32
3775,0,6,158,140,80
3796,1,7,82,140,97
3845,0,6,106,78,62
3886,0,6,25,104,255
3906,1,7,64,163,255
3947,0,6,255,77,74
3988,0,6,100,88,61
4008,1,7,86,49,255
4031,0,6,13,91,102
4092,0,6,253,164,108
4112,1,7,70,70,16
4153,0,6,39,98,73
4203,0,6,20,117,92
4265,1,7,75,59,255
4287,0,6,255,129,180
4328,1,7,254,66,255
4348,0,6,58,35,65
4369,1,7,24,94,96
4409,0,6,61,124,160
4450,0,6,88,131,59
4470,1,7,138,66,83
4595,0,6,38,156,48
4615,1,7,82,73,255
4665,0,6,28,148,120
4705,0,6,255,120,107
4725,1,7,78,63,0
4819,0,6,25,51,14
4850,0,6,35,4,96
4871,1,7,88,81,255
4920,0,6,255,143,189
4961,0,6,71,58,196
4981,1,7,58,141,58
5004,0,6,42,118,79
5025,1,7,253,92,129
5074,0,6,24,69,59
5126,0,6,255,27,74
5176,0,6,57,100,62
5217,0,6,30,94,94
5237,1,7,81,32,50
5312,0,6,27,73,101
5332,1,7,110,65,255
5362,0,6,51,170,42
5382,1,7,15,45,3
5433,0,6,255,160,99
5474,0,6,255,54,167
5494,1,7,255,130,143
5516,0,6,93,27,134
5536,1,7,54,133,59
5586,0,6,81,66,104
5627,0,6,53,163,35
5647,1,7,98,165,7
5688,0,6,22,81,15
5729,0,6,255,122,34
5749,1,7,63,88,255
5772,0,6,38,119,81
5792,1,7,105,76,33
5842,0,6,24,118,89
5883,0,6,5,82,64
5903,1,7,82,81,14
5944,0,6,8,94,120
5964,1,7,36,86,25
5984,0,6,23,120,95
6005,1,7,81,61,8
6098,0,6,255,133,93
6138,0,6,54,123,61
6158,1,7,58,24,60
6181,0,6,113,95,63
6202,1,7,78,100,112
6252,0,6,75,132,58
6272,1,7,76,49,9
6292,0,6,254,69,95
6353,0,6,255,59,93
6394,0,6,255,97,134
6415,1,7,79,54,48
6437,0,6,105,104,65
6458,1,7,64,58,11
6507,0,6,28,139,93
6548,0,6,84,61,9
6609,0,6,255,175,112
6650,0,6,9,111,79
6670,1,7,18,59,255
6693,0,6,255,120,107
6713,1,7,23,57,255
6763,0,6,255,77,88
6804,0,6,82,103,47
6824,1,7,144,110,152
6865,0,6,48,139,116
6906,0,6,28,127,41
6926,1,7,87,45,61
6969,0,6,54,36,85
7019,0,6,8,39,58
7059,0,6,255,95,75
7080,1,7,48,119,255
7103,0,6,1,69,76
7123,1,7,50,53,255
7173,0,6,29,99,65
7213,0,6,38,73,255
7234,1,7,93,90,91
7257,0,6,32,255,28
7277,1,7,81,58,86
7329,1,7,94,54,53
7379,0,6,255,100,52
7429,0,6,2,107,39
7469,0,6,64,90,37
7489,1,7,56,62,22
7513,0,6,51,62,129
7533,1,7,36,70,255
7582,0,6,1,94,139
7623,0,6,2,85,87
7684,0,6,12,91,81
7725,0,6,255,77,58
7745,1,7,122,101,255
7768,0,6,50,94,48
7789,1,7,62,30,255
7838,0,6,20,93,44
7879,0,6,30,73,43
7899,1,7,102,105,71
7940,0,6,38,55,46
7981,0,6,45,49,93
8001,1,7,100,147,115
8024,0,6,254,46,255
